"filename", "language", "JavaScript", "Less", "JavaScript JSX", "JSON", "XML", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\nestedChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\pieChart\index.jsx", "JavaScript JSX", 0, 0, 59, 0, 0, 0, 1, 60
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\pieChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\radarChart\index.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 1, 1, 48
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\radarChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\waterChart\index.jsx", "JavaScript JSX", 0, 0, 294, 0, 0, 0, 1, 295
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\echarts\waterChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\basicForm\index.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 1, 64
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\basicForm\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\dynamicForm\index.jsx", "JavaScript JSX", 0, 0, 36, 0, 0, 0, 1, 37
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\dynamicForm\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\validateForm\index.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 1, 64
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\form\validateForm\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\home\index.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 1, 7, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\home\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\login\components\LoginForm.jsx", "JavaScript JSX", 0, 0, 90, 0, 0, 1, 1, 92
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\login\index.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 1, 24
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\login\index.less", "Less", 0, 87, 0, 0, 0, 0, 1, 88
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useComponent\index.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 1, 10
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useComponent\index.less", "Less", 0, 0, 0, 0, 0, 0, 1, 1
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useHooks\index.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 1, 1, 81
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\views\proTable\useHooks\index.less", "Less", 0, 4, 0, 0, 0, 0, 1, 5
"Total", "-", 906, 995, 3561, 385, 48, 442, 291, 6628
