"filename", "language", "JavaScript JSX", "XML", "Less", "JavaScript", "JSON", "comment", "blank", "total"
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\language\index.js", "JavaScript", 0, 0, 0, 20, 0, 1, 1, 22
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\language\modules\en.js", "JavaScript", 0, 0, 0, 28, 0, 0, 1, 29
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\language\modules\zh.js", "JavaScript", 0, 0, 0, 28, 0, 0, 1, 29
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Footer\index.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 1, 13
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Footer\index.less", "Less", 0, 0, 14, 0, 0, 0, 1, 15
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\AssemblySize.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 1, 1, 48
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\AvatarIcon.jsx", "JavaScript JSX", 64, 0, 0, 0, 0, 2, 1, 67
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\BreadcrumbNav.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 0, 1, 20
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\CollapseIcon.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 1, 15
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\Fullscreen.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 1, 23
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\InfoModal.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 1, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\Language.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 1, 27
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\PasswordModal.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 1, 26
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\components\Theme.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 2, 1, 86
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\index.jsx", "JavaScript JSX", 27, 0, 0, 0, 0, 0, 1, 28
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Header\index.less", "Less", 0, 0, 56, 0, 0, 0, 1, 57
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Menu\components\Logo.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 1, 12
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Menu\index.jsx", "JavaScript JSX", 114, 0, 0, 0, 0, 11, 1, 126
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Menu\index.less", "Less", 0, 0, 45, 0, 0, 1, 2, 48
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Tabs\components\MoreButton.jsx", "JavaScript JSX", 40, 0, 0, 0, 0, 1, 1, 42
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Tabs\index.jsx", "JavaScript JSX", 69, 0, 0, 0, 0, 3, 1, 73
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\components\Tabs\index.less", "Less", 0, 0, 79, 0, 0, 2, 3, 84
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\index.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 3, 1, 56
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\layouts\index.less", "Less", 0, 0, 17, 0, 0, 1, 1, 19
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\main.jsx", "JavaScript JSX", 19, 0, 0, 0, 0, 17, 1, 37
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\mock\menu.json", "JSON", 0, 0, 0, 0, 149, 0, 0, 149
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\mock\menuOrigin.json", "JSON", 0, 0, 0, 0, 236, 0, 0, 236
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\mock\mockBucketlist.js", "JavaScript", 0, 0, 0, 26, 0, 0, 1, 27
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\mock\overviewChildren.jsx", "JavaScript JSX", 35, 0, 0, 0, 0, 0, 0, 35
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\index.js", "JavaScript", 0, 0, 0, 31, 0, 5, 8, 44
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\authSlice.js", "JavaScript", 0, 0, 0, 19, 0, 0, 5, 24
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\breadcrumbSlice.js", "JavaScript", 0, 0, 0, 14, 0, 0, 4, 18
"d:\front-end\pro_projects\C4-Cloud-storage\react-electron copy\src\redux\modules\bucketSlice.js", "JavaScript", 0, 0, 0, 17, 0, 0, 6, 23
